"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"White-tailed Kite","Elanus leucurus",,"Daniel González Amat",2010-03-17,19:00,"Wetland Batuco, Batuco, Región Metropolitana",Chile,-33.2428,-70.8234,500,Call,"Juvenile Call, Chilean name Bailarín",,45578,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-tailed Kite","Elanus leucurus",,"Daniel González Amat",2010-03-17,18:30,"Wetland Batuco, Batuco, Región Metropolitana",Chile,-33.2428,-70.8234,500,Call,"Juvenile Call, Chilean name Bailarín",,45577,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-tailed Kite","Elanus leucurus",,"Daniel González Amat",2010-03-17,18:00,"Wetland Batuco, Batuco, Región Metropolitana",Chile,-33.2428,-70.8234,500,Call,"Juvenile Call, Chilean name Bailarín",,45576,//creativecommons.org/licenses/by-nc-nd/2.5/
"White-tailed Kite","Elanus leucurus",,"Rodrigo Valenzuela Aceval",2003-06-24,00:06,"Facultad de Veterinaria, Universidad de Chile, La Pintana, Santiago.",Chile,-33.5742,-70.6314,600,song,link:http://piojo69.tripod.com/sonidos.htm,,965,//creativecommons.org/licenses/by-nc-nd/2.5/
"Chilean Hawk","Accipiter chilensis",,"Enzo Basso",2020-01-29,11:00,"La Florida (near  Santiago),  Santiago , Metropolitan Region",Chile,-33.5286,-70.5128,1100,"begging call, female, juvenile","Hembra juvenil llamando a los adultos por comida. Cuarto año de monitoreo de este nido, esta temporada solo sobrevivió un pichón (esta hembra).bird-seen:yes playback-used:no",,569645,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chilean Hawk","Accipiter chilensis",,"Tomás Rivas Fuenzalida",2014-02-20,15:30,"Contulmo (near  Los Notros), Arauco, Bío Bío",Chile,-37.9047,-73.2746,220,"alarm call, female, juvenile, male","Male and female juveniles alarm call near nest bird-seen:yes playback-used:no",,565595,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chilean Hawk","Accipiter chilensis",,"Tomás Rivas Fuenzalida",2014-11-05,10:00,"Contulmo (near  Los Notros), Arauco, Bío Bío",Chile,-37.9047,-73.2746,220,"adult, alarm call, female","Adult female alarm call near active nest bird-seen:yes playback-used:no",,565592,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chilean Hawk","Accipiter chilensis",,"Enzo Basso",2015-10-08,10:00,"Valdivia, Valdivia, Región de los Ríos",Chile,-39.718,-73.3938,600,"Cortejo: macho llamando a hembra, call","Esta vocalización -poco conocida- corresponde a la llamada del macho para traspasarle a la hembra una presa. Luego de la llegada de la hembra, el macho cede la presa  y copula con la hembra.bird-seen:yes playback-used:no",,432251,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chilean Hawk","Accipiter chilensis",,"Enzo Basso",2016-02-29,10:00,"Valdivia, Valdivia, Región de los Ríos",Chile,-39.718,-73.3938,800,"call, juvenile","La grabación fue realizada  bajo observación directa de los juveniles con una Canon 7D.bird-seen:yes playback-used:no",,305017,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chilean Hawk","Accipiter chilensis",,"Enzo Basso",2014-01-10,09:00,"Peñalolén (near  Penalolen), Santiago, Región Metropolitana",Chile,-33.4926,-70.4832,1800,"alarm call, female","bird-seen:yes playback-used:no",,301258,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chilean Hawk","Accipiter chilensis",,"Fabrice Schmitt",0000-00-00,"10:00 AM",Chicauma,Chile,-33.213989,-70.945587,690,"female call, replacing the male at the nest","without playback",,102706,//creativecommons.org/licenses/by-nc-nd/2.5/
"Chilean Hawk","Accipiter chilensis",,"Javier Godoy",2015-01-09,15:00,"Pucón, Cautín, IX Región",Chile,-39.4431,-71.7486,1100,song,"bird-seen:yes playback-used:no",,332483,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chilean Hawk","Accipiter chilensis",,"Todd Mark",0215-02-02,13:30,"Punta Arenas, Magallanes, XII Región de Magallanes y la Antártica Chilena",Chile,-53.1432,-71.0018,340,call,"Individual heard from distance and flushed out of mid-canopy of Nothofagus. Possibly nesting. (continuation of previous)bird-seen:yes playback-used:no",,246694,//creativecommons.org/licenses/by-nc-sa/4.0/
"Chilean Hawk","Accipiter chilensis",,"Todd Mark",0215-02-02,13:30,"Punta Arenas, Magallanes, XII Región de Magallanes y la Antártica Chilena",Chile,-53.1432,-71.0018,340,call,"Individual heard from distance and flushed out of mid-canopy of Nothofagus. Possibly nesting.bird-seen:yes playback-used:no",,246693,//creativecommons.org/licenses/by-nc-sa/4.0/
"Cinereous Harrier","Circus cinereus",,"Fabrice Schmitt",2008-12-17,09:00,"Santa Inés",Chile,,,490,"alarm call (female)",,"Laterallus jamaicensis,Agelasticus thilius,Milvago chimango",36158,//creativecommons.org/licenses/by-nc-nd/2.5/
"Harris's Hawk","Parabuteo unicinctus",,"Natacha Francisca",2019-09-10,17:00,"Centro de Rehabilitación de Aves Rapaces, Talagante, Región Metropolitana",Chile,-33.6876,-70.91,340,"adult, call, female","Ejemplar hembra en cautiverio, Centro de rehabilitación de aves rapaces CRAR bird-seen:yes playback-used:no",,569824,//creativecommons.org/licenses/by-nc-sa/4.0/
"Harris's Hawk","Parabuteo unicinctus",,"Cristian Pinto",2020-05-02,07:00,"Parque San Borja, Santiago, Región Metropolitana, Chile",Chile,-33.4405,-70.6376,600,"adult, call, juvenile","bird-seen:yes playback-used:no","Turdus falcklandii,Curaeus curaeus",553948,//creativecommons.org/licenses/by-nc-sa/4.0/
"Harris's Hawk","Parabuteo unicinctus",,"Gonzalo Labarrera Valdivieso",2019-10-02,11:00,"PN La Campana",Chile,-32.9809,-71.1289,800,juvenile,"La grabación fue normalizada.bird-seen:no playback-used:no",,500781,//creativecommons.org/licenses/by-nc-sa/4.0/
"Harris's Hawk","Parabuteo unicinctus",,"Cristian Pinto",2018-06-16,17:30,"Humedal de Mantagua, Valparaiso, Región de Valparaíso",Chile,-32.8826,-71.5046,10,call,"A juvenal of Harr's Hawk perched on a bush.bird-seen:yes playback-used:no",,420834,//creativecommons.org/licenses/by-nc-sa/4.0/
"Harris's Hawk","Parabuteo unicinctus",,"Cristian Pinto",2018-06-16,17:30,"Humedal de Mantagua, Valparaiso, Región de Valparaíso",Chile,-32.8826,-71.5046,10,call,"A juvenal of Harr's Hawk perched on a bush. bird-seen:yes playback-used:no",,420833,//creativecommons.org/licenses/by-nc-sa/4.0/
"Harris's Hawk","Parabuteo unicinctus",unicinctus,"Daniel González Amat",2007-04-19,12:30,"Wetland El Yali, Las Salinas Quinta Region",Chile,-33.781716,-71.727676,20,call,,,12879,//creativecommons.org/licenses/by-nc-nd/2.5/
"Variable Hawk","Geranoaetus polyosoma",,"Enzo Basso",2013-01-24,12:00,"San José de Maipo (near  Santiago), Cordillera Province, Santiago Metropolitan Region",Chile,-33.5556,-70.1642,1800,"begging call","Juveniles en el nido (young in the nest).bird-seen:yes playback-used:no",,170906,//creativecommons.org/licenses/by-nc-sa/3.0/
"Variable Hawk","Geranoaetus polyosoma",,"Alvaro Jaramillo",2001-07-23,?:?,"Quebrada de Paposo, Antofagasta, II Region",Chile,,,?,song,"rpb <a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,59988,//creativecommons.org/licenses/by-nc-nd/2.5/
"Variable Hawk","Geranoaetus polyosoma",,"Rodrigo Valenzuela Aceval",2003-01-16,00:07,"Reserva Nacional Altos de Lircay, VII Region.",Chile,-35.5367,-71.054,1500,song,link:http://piojo69.tripod.com/sonidos.htm,,964,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-chested Buzzard-Eagle","Geranoaetus melanoleucus",,"Natacha Francisca",2019-12-10,11:00,"Centro de Rehabilitación de Aves Rapaces, Talagante, Región Metropolitana",Chile,-33.6876,-70.91,340,"adult, call, female","Ejemplar en cautiverio. Centro de rehabilitación de aves rapaces CRAR bird-seen:yes playback-used:no",,569827,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-chested Buzzard-Eagle","Geranoaetus melanoleucus",,"Lance A. M. Benner",2017-04-06,10:02,"Natales, Ultima Esperanza, Región de Magallanes y de la Antártica Chilena",Chile,-51.5178,-72.5041,150,"begging call, juvenile","Recorded at the edge of a ranch.  There were two buzzard-eagles: a juvenile and an adult.Equipment: Sony PCM-M10 recorder and a Sennheiser ME67 microphone.bird-seen:yes playback-used:no",,370044,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-chested Buzzard-Eagle","Geranoaetus melanoleucus",,"Natacha Francisca",2019-11-27,08:30,"Centro de Rehabilitación de Aves Rapaces, Talagante, Región Metropolitana",Chile,-33.6876,-70.91,340,"adult, call, female","Ejemplar en cautiverio. Centro de rehabilitación de aves rapaces. CRAR bird-seen:yes playback-used:no",,569826,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-chested Buzzard-Eagle","Geranoaetus melanoleucus",australis,"Natacha González G.",2018-05-12,10:00,"Centro de Rehabilitación de Aves Rapaces, Talagante, Región Metropolitana",Chile,-33.6876,-70.91,340,"alarm call","Águila en rehabilitación, emite este sonido cuando otro ejemplar se acerca a su percha bird-seen:yes playback-used:no",,419407,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-chested Buzzard-Eagle","Geranoaetus melanoleucus",,"Lance A. M. Benner",2017-04-06,09:53,"Natales, Ultima Esperanza, Región de Magallanes y de la Antártica Chilena",Chile,-51.5178,-72.5041,150,"begging call, juvenile","Recorded at the edge of a ranch.  There were two buzzard-eagles: a juvenile and an adult. A dog is also audible in the background.Equipment: Sony PCM-M10 recorder and a Sennheiser ME67 microphone.bird-seen:yes playback-used:no","Troglodytes aedon",370043,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-chested Buzzard-Eagle","Geranoaetus melanoleucus",australis,"Enzo Basso/Julio Urbina",2014-02-20,11:00,"Lonquen, Talagante Province, Santiago Metropolitan Region",Chile,-33.7167,-70.8362,800,"alarm call, female, male","bird-seen:yes playback-used:no",,167778,//creativecommons.org/licenses/by-nc-sa/3.0/
"Black-chested Buzzard-Eagle","Geranoaetus melanoleucus",australis,"Enzo Basso",2014-01-15,14:00,"La Florida (near  Santiago),  Santiago , Metropolitan Region",Chile,-33.5286,-70.5128,1300,"call, juvenile","Juvenil en nido (50 días).bird-seen:yes playback-used:no",,167786,//creativecommons.org/licenses/by-nc-sa/3.0/
"White-throated Hawk","Buteo albigula",,"Gonzalo Labarrera Valdivieso",2019-10-02,10:30,"PN La Campana",Chile,-32.9809,-71.1289,800,"alarm call","A la grabación se edito por los disparos de la camara.  El Parque Nacional la campana se compone de bosque esclerófilo. Encontré a esta pareja posados en dos arboles. Cuando el macho me vio comenzó con una vocalización de alerta mas o menos grave, y al acercarme para tomar unas fotos... su vocalización cambió a una mas aguda, y levantó el vuelo contra mi persona. Adultos, Macho y Hembra.bird-seen:yes playback-used:yes",,500696,//creativecommons.org/licenses/by-nc-sa/4.0/
"White-throated Hawk","Buteo albigula",,"Alvaro Jaramillo",2004-11-17,?:?,"PN Conguillio-Laguna Captren, IX Region",Chile,-38.6417,-71.7017,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,59989,//creativecommons.org/licenses/by-nc-nd/2.5/
"Rufous-tailed Hawk","Buteo ventralis",,"Tomás Rivas Fuenzalida",2009-12-20,14:30,"Contulmo, Arauco, Bío Bío",Chile,-38.0299,-73.2241,120,"call, hatchling or nestling, sex uncertain","Nestling call to a nearby adult female bird-seen:yes playback-used:no",,565589,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous-tailed Hawk","Buteo ventralis",,"Tomás Rivas Fuenzalida",2009-12-20,12:00,"Contulmo, Arauco, Bío Bío",Chile,-38.0299,-73.2241,120,"alarm call, hatchling or nestling, sex uncertain","Nestling alarm call bird-seen:yes playback-used:no",,565588,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous-tailed Hawk","Buteo ventralis",,"Tomás Rivas Fuenzalida",2009-12-20,12:30,"Contulmo, Arauco, Bío Bío",Chile,-38.0299,-73.2241,120,"adult, alarm call, female","Adult female alarm call near active nest bird-seen:yes playback-used:no",,565587,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous-tailed Hawk","Buteo ventralis",,"Francisco Rivas Fuenzalida",2014-12-16,11:00,"Contulmo, Arauco, Bío Bío",Chile,-38.0147,-73.255,120,"adult, alarm call, female, flight call, juvenile, male","2 adultos (hembra y macho) + 1 juvenil (después del primer grito largo de adulto), en el nido. bird-seen:yes playback-used:no",,565608,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous-tailed Hawk","Buteo ventralis",,"Tomás Rivas Fuenzalida",2016-09-15,04:00,"Reserva Natural El Natri, Arauco, Bío Bío",Chile,-37.9038,-73.2864,120,"adult, call, female","Adult female call bird-seen:yes playback-used:no",,565586,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous-tailed Hawk","Buteo ventralis",,"Dante Buzzetti",2020-03-01,14:15,"Río Lenca,Parque Nacional Alerce Andino,Llanquihue,Los Lagos",Chile,-41.6039,-72.6265,150,"territorial call","DCB 805-2, soaring bird-seen:yes playback-used:no",,544443,//creativecommons.org/licenses/by-nc-sa/4.0/
"Rufous-tailed Hawk","Buteo ventralis",,"Fabrice Schmitt",2015-10-24,15:00,"Cerro Nielol, Temuco, IX Region",Chile,-38.7228,-72.5867,280,"flight call","adult arriving to the nest bird-seen:yes playback-used:no","Scytalopus magellanicus",336429,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Rail","Laterallus jamaicensis",salinasi,"Cristian Pinto",2019-09-05,16:00,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,"adult, call, sex uncertain","bird-seen:no playback-used:no",,522021,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Rail","Laterallus jamaicensis",,"Fernando Medrano",2017-07-23,17:00,"desembocadura del rio Maipo",Chile,-33.6195,-71.6295,0,call,"Response to playback bird-seen:no playback-used:yes",,380922,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Rail","Laterallus jamaicensis",salinasi,"Fabrice Schmitt",2012-11-23,08:30,"Elqui estuary, La Serena, Elqui Province, Coquimbo",Chile,-29.8935,-71.2708,0,call,"bird-seen:yes playback-used:yes",,116668,//creativecommons.org/licenses/by-nc-sa/3.0/
"Black Rail","Laterallus jamaicensis",salinasi,"Fabrice Schmitt",2008-12-30,23:30,"Santa Ines, Lampa",Chile,-33.2653,-70.8098,490,song,,,36145,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black Rail","Laterallus jamaicensis",salinasi,"Ignacio Azocar",2007-12-27,12:16,RM,Chile,,,400,SONG,"Chilean name: pidencito",,16581,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black Rail","Laterallus jamaicensis",,"Jaime Mancilla ",2020-02-09,13:00,"La Serena, Elqui, Coquimbo",Chile,-29.8927,-71.2705,2,"sex uncertain, song","playback-used:yes",,526179,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Rail","Laterallus jamaicensis",salinasi,"Cristian Pinto",2017-08-15,18:00,"Quebrada Carrizal - Carrizal Bajo - Región de Atacama - Chile",Chile,-28.0849,-71.1429,10,song,"The bird answered a pitching imitating the growl. The next minutes it started to sing the classic song but a few minutes later, the bird sang this slow song.bird-seen:no playback-used:no","Zonotrichia capensis",384668,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Rail","Laterallus jamaicensis",salinasi,"Cristian Pinto",2017-08-08,10:30,"Santa Ines, Lampa",Chile,-33.2653,-70.8098,480,"alternative call, call","I heard the classic song of a black rail in a pile of bushes and dried Scirpus near a little stream. I walked to that area and I started to record, suddenly the bird started to vocalize this calls in front of me. Later, the bird sang the black rail's growl after we used a playback with the black rail's classic song.bird-seen:no playback-used:no",,382458,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Rail","Laterallus jamaicensis",salinasi,"Ignacio Azocar",2007-12-27,12:18,RM,Chile,,,400,growl,"Chilean name: pidencito. Gruñido",,16582,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black Rail","Laterallus jamaicensis",,"Vicente Pantoja",2017-08-26,09:30,"Quebrada Carrizal - Carrizal Bajo - Región de Atacama - Chile",Chile,-28.0849,-71.1429,10,"alarm call","bird-seen:no playback-used:yes","Zonotrichia capensis",386314,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Rail","Laterallus jamaicensis",salinasi,"Cristian Pinto",2017-07-16,19:00,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,"call, territory call","I used the classic song to provoke this call. Before this, I recorded the several black rail calls and songs without any playback.bird-seen:no playback-used:yes",,380176,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Rail","Laterallus jamaicensis",salinasi,"Cristian Pinto",2017-07-16,19:00,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,"Classic song, song","bird-seen:no playback-used:no",,380175,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black Rail","Laterallus jamaicensis",salinasi,"Cristian Pinto",2017-07-16,19:00,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,"Alternative call, song","bird-seen:no playback-used:no",,380174,//creativecommons.org/licenses/by-nc-sa/4.0/
"Austral Rail","Rallus antarcticus",,"Peter Boesman",2018-12-14,21:00,"Torres del Paine, XII Región",Chile,-50.995604,-72.81741,,Call,,,450105,//creativecommons.org/licenses/by-nc-nd/4.0/
"Austral Rail","Rallus antarcticus",,"Peter Boesman",2018-12-14,20:00,"Torres del Paine, XII Región",Chile,-50.995604,-72.81741,,Call,,,450104,//creativecommons.org/licenses/by-nc-nd/4.0/
"Austral Rail","Rallus antarcticus",,"Andrew Spencer",2011-10-28,10:30,"PN Torres del Paine, XII Region",Chile,-51.0289,-72.782,150,song,"response to playback; agitated duet from a pair of birds.",,89443,//creativecommons.org/licenses/by-nc-nd/2.5/
"Austral Rail","Rallus antarcticus",,"Andrew Spencer",2011-10-28,10:30,"PN Torres del Paine, XII Region",Chile,-51.0289,-72.782,150,song,"response to playback; agitated duet from a pair of birds.  Heavy wind noise in the background.",,89442,//creativecommons.org/licenses/by-nc-nd/2.5/
"Austral Rail","Rallus antarcticus",,"Andrew Spencer",2011-10-28,10:30,"PN Torres del Paine, XII Region",Chile,-51.0289,-72.782,150,song,"response to playback",,89441,//creativecommons.org/licenses/by-nc-nd/2.5/
"Austral Rail","Rallus antarcticus",,"Andrew Spencer",2011-10-28,11:00,"PN Torres del Paine, XII Region",Chile,-51.029,-72.782,150,song,"response to playback",,89292,//creativecommons.org/licenses/by-nc-nd/2.5/
"Austral Rail","Rallus antarcticus",,"Nick Athanas",2008-11-11,14:14,"Torres del Paine NP, Region XII",Chile,-51.0281,-72.7773,150,song,"Response to playback.","Zonotrichia capensis,Phleocryptes melanops,Chloephaga picta",24431,//creativecommons.org/licenses/by-nc-sa/3.0/
"Austral Rail","Rallus antarcticus",,"Peter Boesman",2018-12-14,21:00,"Torres del Paine, XII Región",Chile,-50.995604,-72.81741,,Call,,,450106,//creativecommons.org/licenses/by-nc-nd/4.0/
"Austral Rail","Rallus antarcticus",,"Peter Boesman",2018-12-13,16:00,"Torres del Paine, XII Región",Chile,-50.995604,-72.81741,,Call,,,450103,//creativecommons.org/licenses/by-nc-nd/4.0/
"Austral Rail","Rallus antarcticus",,"Alvaro Jaramillo",1999-11-15,?:?,"PN Torres del Paine, El Mirador, XII Region",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,60073,//creativecommons.org/licenses/by-nc-nd/2.5/
"Austral Rail","Rallus antarcticus",,"Alvaro Jaramillo",1999-11-13,?:?,"PN Torres del Paine, El Mirador, XII Region",Chile,,,?,song,"rpb <a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,60072,//creativecommons.org/licenses/by-nc-nd/2.5/
"Austral Rail","Rallus antarcticus",,"Alvaro Jaramillo",1999-11-13,?:?,"PN Torres del Paine, El Mirador, XII Region",Chile,,,?,song,"rpb <a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,60071,//creativecommons.org/licenses/by-nc-nd/2.5/
"Austral Rail","Rallus antarcticus",,"Alvaro Jaramillo",1999-11-15,?:?,"PN Torres del Paine, El Mirador, XII Region",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,60070,//creativecommons.org/licenses/by-nc-nd/2.5/
"Austral Rail","Rallus antarcticus",,"Nick Athanas",2008-11-11,14:35,"Torres del Paine NP, Region XII",Chile,-51.0281,-72.7773,150,call,"Response to playback. I suspect the repeated soft calls are also given by the rail.","Zonotrichia capensis",24433,//creativecommons.org/licenses/by-nc-sa/3.0/
"Austral Rail","Rallus antarcticus",,"Nick Athanas",2008-11-11,14:33,"Torres del Paine NP, Region XII",Chile,-51.0281,-72.7773,150,call,"Response to playback.","Cistothorus platensis",24432,//creativecommons.org/licenses/by-nc-sa/3.0/
"Dot-winged Crake","Porzana spiloptera",,"Heraldo V. Norambuena",2019-05-19,09:30,"Hualpén, Concepcion, Región del Bío Bío",Chile,-36.7695,-73.1642,20,song,"Response to playback. ""Pw call""bird-seen:no playback-used:yes",,475633,//creativecommons.org/licenses/by-nc-sa/4.0/
"Dot-winged Crake","Porzana spiloptera",,"Heraldo V. Norambuena",2019-05-19,09:30,"Hualpén, Concepcion, Región del Bío Bío",Chile,-36.7695,-73.1642,20,call,"Response to playback.bird-seen:no playback-used:yes",,475632,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",,"Lance A. M. Benner",2017-04-07,19:07,"Laguna Paso, Torres de Paine, Ultima Esperanza, Región de Magallanes y de la Antártica Chilena",Chile,-51.0475,-72.9267,100,call,"Recorded at the edge of a marsh.  Heard in response to playback of an austral rail recording.Equipment: Sony PCM-M10 and a Sennheiser ME67.bird-seen:no playback-used:yes",,370029,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",landbecki,"Cristian Pinto",2019-05-18,12:30,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,call,"bird-seen:no playback-used:no",,475648,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",,"Peter Boesman",2018-12-14,21:00,"Torres del Paine, XII Región",Chile,-50.995604,-72.81741,,song,,,450030,//creativecommons.org/licenses/by-nc-nd/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",,"Peter Boesman",2018-12-05,08:30,"Quetalmahue, Chiloé, X Región",Chile,-41.858518,-73.975909,,song,,,450027,//creativecommons.org/licenses/by-nc-nd/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",sanguinolentus,"Cristian Pinto",2017-07-21,18:00,"Estero San Sebastián, San Antonio, Región de Valparaíso",Chile,-33.5313,-71.5993,10,"call, song","I classified this call as a song and call, because is used as a territory call, also is listened in reproductive season as a song.bird-seen:no playback-used:no","Zonotrichia capensis,Phleocryptes melanops,Fulica armillata",380638,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",sanguinolentus,"Cristian Pinto",2017-07-21,17:30,"Estero San Sebastián, San Antonio, Región de Valparaíso",Chile,-33.5313,-71.5993,10,call,"bird-seen:no playback-used:no",,380636,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",landbecki,"Cristian Pinto",2017-07-16,19:00,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,"begging call, collective song, song","Collective Call bird-seen:no playback-used:no",,380173,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",landbecki,"Cristian Pinto",2017-07-16,19:00,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,"begging call","Call bird-seen:no playback-used:no",,380172,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",landbecki,"Cristian Pinto",2017-07-16,19:00,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,"alarm call, song","Deep bass song bird-seen:no playback-used:no",,380171,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",landbecki,"Cristian Pinto",2017-07-16,19:00,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,"alarm call","bird-seen:no playback-used:no",,380170,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",,"Lance A. M. Benner",2017-04-07,19:05,"Laguna Paso, Torres de Paine, Ultima Esperanza, Región de Magallanes y de la Antártica Chilena",Chile,-51.0475,-72.9267,100,call,"Recorded at the edge of a marsh.  Heard in response to playback of an austral rail recording.Equipment: Sony PCM-M10 and a Sennheiser ME67.bird-seen:no playback-used:yes",,370028,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",,"Ross Gallardy",2015-04-13,14:00,"Torres del Paine, XII Region",Chile,-50.9795,-72.8003,90,song,"bird-seen:yes playback-used:yes",,295891,//creativecommons.org/licenses/by-nc-sa/4.0/
"Plumbeous Rail","Pardirallus sanguinolentus",landbecki,"Andrew Spencer",2012-11-07,17:00,"Talca, VII Region",Chile,-35.4159,-71.6006,130,song,"song from a pair of birds in response to playback.  Both birds were in view, walking through some vegetation lining a small ditch on the outskirts of town.bird-seen:yes playback-used:yes",,116046,//creativecommons.org/licenses/by-nc-sa/3.0/
"Plumbeous Rail","Pardirallus sanguinolentus",,"Francisco Rivas Fuenzalida",2012-12-29,20:00,"Lago Lanalhue",Chile,-37.9108,-73.2852,10,song,"bird-seen:no playback-used:yes",,115941,//creativecommons.org/licenses/by-nc-sa/3.0/
"Plumbeous Rail","Pardirallus sanguinolentus",landbecki,"Daniel González Amat",2010-02-26,11:00,"Las Mellizas Wetland, Los Angeles",Chile,-37.331,-72.401,300,"Territory Call","Chilean name: Pidén",,45444,//creativecommons.org/licenses/by-nc-nd/2.5/
"Plumbeous Rail","Pardirallus sanguinolentus",landbecki,"Daniel González Amat",2008-08-15,11:00,"Valle del Encanto, IV Región",Chile,,,600,"call, male","Chilean name: Pidén","Phrygilus fruticeti",33783,//creativecommons.org/licenses/by-nc-nd/2.5/
"Plumbeous Rail","Pardirallus sanguinolentus",,"Doug Knapp",2007-12-02,07:00,"Wetland Batuco, Batuco, Región Metropolitana",Chile,-33.2428,-70.8234,490,Call,"Pair with one pullet. ","Agelasticus thilius",16340,//creativecommons.org/licenses/by-nc-nd/2.5/
"Plumbeous Rail","Pardirallus sanguinolentus",,"Dante Buzzetti",2020-02-29,20:46,"Río Pudeyi,Isla Grande de Chiloé,Ancud,Llanquihue,Los Lagos",Chile,-41.9181,-73.995,4,call,"DCB 804-1c, calls probably by chicks bird-seen:no playback-used:no",,543494,//creativecommons.org/licenses/by-nc-sa/4.0/
